date,open,high,low,close,volume
2025-07-01,206.665,210.1865,206.1401,207.82,78788866.0
2025-07-02,208.91,213.34,208.14,212.44,67941811.0
2025-07-03,212.145,214.65,211.8101,213.55,34707833.0
2025-07-07,212.68,216.23,208.8,209.95,50228959.0
2025-07-08,210.1,211.43,208.45,210.01,42848928.0
2025-07-09,209.53,211.33,207.22,211.14,48749277.0
2025-07-10,210.505,213.48,210.03,212.41,44443614.0
2025-07-11,210.565,212.13,209.86,211.16,39765734.0
2025-07-14,209.925,210.91,207.54,208.62,38840111.0
2025-07-15,209.22,211.89,208.92,209.11,42296339.0
2025-07-16,210.295,212.4,208.64,210.16,47490530.0
2025-07-17,210.57,211.8,209.59,210.02,48068141.0
2025-07-18,210.87,211.79,209.7045,211.18,48974588.0
2025-07-21,212.1,215.78,211.63,212.48,51377358.0
2025-07-22,213.14,214.95,212.2301,214.4,46403972.0
2025-07-23,215.0,215.15,212.41,214.15,46989272.0
2025-07-24,213.9,215.69,213.53,213.76,46022620.0
2025-07-25,214.7,215.24,213.4,213.88,40268686.0
2025-07-28,214.03,214.845,213.06,214.05,37857992.0
2025-07-29,214.175,214.81,210.82,211.27,51411721.0
2025-07-30,211.895,212.39,207.72,209.05,45512393.0
2025-07-31,208.49,209.84,207.16,207.57,80698392.0
2025-08-01,210.865,213.58,201.5,202.38,104434472.0
2025-08-04,204.505,207.88,201.675,203.35,75109291.0
2025-08-05,203.4,205.34,202.16,202.92,44154854.0
2025-08-06,205.63,215.38,205.59,213.25,108483103.0
2025-08-07,218.875,220.85,216.58,220.03,90224834.0
2025-08-08,220.83,231.0,219.25,229.35,113853412.0
2025-08-11,227.92,229.56,224.76,227.18,61806086.0
2025-08-12,228.005,230.8,227.07,229.65,55672299.0
2025-08-13,231.07,235.0,230.43,233.33,69878545.0
2025-08-14,234.055,235.12,230.85,232.78,51916242.0
2025-08-15,234.0,234.28,229.335,231.59,56038587.0
2025-08-18,231.7,233.12,230.11,230.89,37476149.0
2025-08-19,231.275,232.87,229.35,230.56,39402455.0
2025-08-20,229.98,230.47,225.77,226.01,42263854.0
2025-08-21,226.27,226.52,223.7804,224.9,30620838.0
2025-08-22,226.17,229.09,225.41,227.76,42477803.0
2025-08-25,226.48,229.3,226.23,227.16,30983024.0
2025-08-26,226.87,229.49,224.69,229.31,54574913.0
2025-08-27,228.61,230.9,228.26,230.49,31259478.0
2025-08-28,230.82,233.41,229.335,232.56,38074679.0
2025-08-29,232.51,233.38,231.37,232.14,39418268.0
2025-09-02,229.25,230.85,226.97,229.72,44075552.0
2025-09-03,237.21,238.85,234.36,238.47,66427742.0
2025-09-04,238.45,239.8999,236.74,239.78,47549396.0
2025-09-05,239.995,241.32,238.4901,239.69,54870397.0
2025-09-08,239.3,240.15,236.34,237.88,48999440.0
2025-09-09,237.0,238.7805,233.36,234.35,66313868.0
2025-09-10,232.185,232.42,225.95,226.79,83440810.0
2025-09-11,226.875,230.45,226.65,230.03,50207866.0
2025-09-12,229.22,234.51,229.02,234.07,55824075.0
2025-09-15,237.0,238.19,235.03,236.7,42699514.0
2025-09-16,237.175,241.22,236.3235,238.15,63421098.0
2025-09-17,238.97,240.1,237.7301,238.99,46508017.0
2025-09-18,239.97,241.2,236.65,237.88,44249563.0
2025-09-19,241.225,246.3,240.2106,245.5,163741269.0
2025-09-22,248.3,256.64,248.12,256.08,105517415.0
2025-09-23,255.875,257.34,253.58,254.43,60275126.0
2025-09-24,255.22,255.74,251.04,252.31,42303706.0
2025-09-25,253.205,257.17,251.712,256.87,55202013.0
2025-09-26,254.095,257.6,253.78,255.46,46076136.0
2025-09-29,254.56,255.0,253.01,254.43,40127520.0
2025-09-30,254.855,255.919,253.11,254.63,37703571.0
2025-10-01,255.04,258.79,254.93,255.45,48713820.0
2025-10-02,256.575,258.18,254.15,257.13,42630179.0
2025-10-03,254.665,259.24,253.95,258.02,49155614.0
2025-10-06,257.99,259.07,255.05,256.69,44664081.0
2025-10-07,256.805,257.4,255.43,256.48,31955297.0
2025-10-08,256.52,258.52,256.11,258.06,36496845.0
2025-10-09,257.805,258.0,253.14,254.04,38321900.0
2025-10-10,254.94,256.38,244.0,245.27,61999050.0
2025-10-13,249.38,249.69,245.56,247.66,38142755.0
2025-10-14,246.6,248.845,244.7,247.77,35477865.0
2025-10-15,249.485,251.82,247.47,249.34,33893577.0
2025-10-16,248.25,249.04,245.13,247.45,39776781.0
2025-10-17,248.02,253.38,247.27,252.29,49146662.0
2025-10-20,255.885,264.375,255.63,262.24,90483005.0
2025-10-21,261.88,265.29,261.83,262.77,46695671.0
2025-10-22,262.65,262.85,255.43,258.45,45015182.0
2025-10-23,259.94,260.62,258.0101,259.58,32754925.0
2025-10-24,261.19,264.13,259.18,262.82,38253714.0
2025-10-27,264.88,269.12,264.6501,268.81,44888152.0
2025-10-28,268.985,269.89,268.15,269.0,41534759.0
2025-10-29,269.275,271.41,267.11,269.7,51086687.0
2025-10-30,271.99,274.14,268.48,271.4,69886534.0
2025-10-31,276.99,277.32,269.16,270.37,86167061.0
2025-11-03,270.42,270.85,266.25,269.05,50194575.0
2025-11-04,268.325,271.486,267.615,270.04,49274846.0
2025-11-05,268.61,271.7,266.93,270.14,43682531.0
2025-11-06,267.89,273.4,267.89,269.77,51203783.0
2025-11-07,269.795,272.29,266.77,268.47,48227176.0
2025-11-10,268.96,273.73,267.455,269.43,41312151.0
2025-11-11,269.81,275.91,269.8,275.25,46208200.0
2025-11-12,275.0,275.73,271.7,273.47,48397981.0
2025-11-13,274.11,276.699,272.09,272.95,49602754.0
2025-11-14,271.05,275.96,269.6,272.41,47431331.0
2025-11-17,268.815,270.49,265.73,267.46,45018260.0
2025-11-18,269.99,270.71,265.32,267.44,45677169.0
2025-11-19,265.525,272.21,265.5,268.56,40424414.0
2025-11-20,270.83,275.43,265.92,266.25,45823540.0
2025-11-21,265.95,273.33,265.67,271.49,59030832.0
2025-11-24,270.9,277.0,270.9,275.92,65585613.0
2025-11-25,275.27,280.38,275.25,276.97,46914220.0
2025-11-26,276.96,279.53,276.63,277.55,33431421.0
2025-11-28,277.26,279.0,275.9865,278.85,19039075.0
2025-12-01,278.01,283.42,276.14,283.1,46587722.0
2025-12-02,283.0,287.4,282.6301,286.19,53669393.0
2025-12-03,286.2,288.62,283.3,284.15,43538674.0
2025-12-04,284.095,284.73,278.59,280.7,43989031.0
2025-12-05,280.54,281.14,278.05,278.78,47265691.0
2025-12-08,278.13,279.6693,276.15,277.89,38211741.0
2025-12-09,278.16,280.03,276.92,277.18,32192972.0
2025-12-10,277.75,279.75,276.44,278.78,33038011.0
2025-12-11,279.095,279.59,273.81,278.03,33247766.0
2025-12-12,277.9,279.22,276.82,278.28,39532668.0
2025-12-15,280.15,280.15,272.84,274.11,50409068.0
2025-12-16,272.82,275.5,271.79,274.61,37648627.0
2025-12-17,275.01,276.16,271.64,271.84,50138466.0
2025-12-18,273.605,273.63,266.95,272.19,51630473.0
2025-12-19,272.145,274.6,269.9,273.67,144631573.0
2025-12-22,272.86,273.88,270.505,270.97,36571827.0
2025-12-23,270.84,272.5,269.56,272.36,29641997.0
2025-12-24,272.34,275.43,272.195,273.81,17133225.0
2025-12-26,274.16,275.37,272.86,273.4,21521796.0
2025-12-29,272.69,274.36,272.35,273.76,23714986.0
